CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Goodman Reichwald-Dodge,www.freightbillauditor.com,Customer Services,, United States,Goodman Reichwald-Dodge Inc is a company that operates in the Logistics and Supply Chain industry.,,2024-06-19 00:00:00,20079.0,7,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Western Mechanical,www.westmech-hvac.com,Construction,, United States,"Western Mechanical, Inc. is proud of their service to the residential community. Not only do we do new construction, but we provide 24 hour emergency service and support thorughout our service area.",,2024-06-19 00:00:00,20074.0,11,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Seagulf Marine Industries,www.seagulf.com,Transportation,, Canada,Seagulf is the authorized distributor for Castrol Marine in Eastern Canada. We keep a wide range of products in inventory.,,2024-06-19 00:00:00,20043.0,65,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Kinter,www.kinter.com,Manufacturing,, United States,"Kinter is a distributor of quality metal and plastic fasteners, hanging hardware & accessories, display components and more.",,2024-06-17 00:00:00,19660.0,215,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Corbin Turf & Ornamental Supply,www.corbinturf.com,Cosumer Services,, United States,"Corbin Turf & Ornamental Supply, Inc. is a leading turf and ornamental distributor in the Southeast headquartered in Greenville, SC. Known for developing close relationships with both customers and vendors, our company provides professional fertilizers, fungicides, herbicides, insecticides, seed, and accessories to a variety of industries.",,2024-06-17 00:00:00,19486.0,161,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Air Cleaning Specialists,www.aircleaningspecialists.com,Construction,, United States,"For over 40 years, Air Cleaning Specialists, Inc., has been providing indoor air quality solutions for industrial and commercial applications. We began in 1979 by selling and servicing Smokeeters for tobacco applications and have since grown exponentially into an internet marketing company with solid US distribution capabilities.",,2024-06-17 00:00:00,19484.0,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Diverse Technology Industrial,www.dtindustrialflooring.com,Construction,, United States,"Diverse Technology Industrial specializes in quality concrete solutions for all your exterior challenges. Flooring systems can be used for a variety of applications to achieve specific performance criteria, an aesthetic appearance or a combination of both.",,2024-06-17 00:00:00,19429.0,319,"['PII', 'Customer and Client Data', 'Financial Data']",Play
City Builders,www.citybuilders.com,Construction,, United States,City Builders offers an array of high quality products for your home that we truly believe are the best in the industry.,,2024-06-17 00:00:00,19416.0,18,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Refcio & Associates,www.rrlaw.ca,Legal Services,, Canada,"Robinson & Refcio is a local London law firm that focuses on providing quality, cost-effective legal services to small and medium size businesses in the London area and throughout the Province.",,2024-06-17 00:00:00,19367.0,123,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Aldenhoven,www.aldenhoven.nl,Finance,, Netherlands,Aldenhoven Interieurwerken makes custom furniture and complete interiors.,,2024-06-17 00:00:00,19434.0,61,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Amarilla Gas,www.amarillagas.com,Utilities,, Argentina,"Amarilla Gas is a company with national capital, in continuous expansion of its Liquefied Petroleum Gas (LPG) marketing systems.",,2024-06-17 00:00:00,19341.0,250,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ab Monsteras Metall,www.monsterasmetall.se,Transportation,, Sweden,Ab Monsteras Metall is a company that operates in the Wholesale industry.,,2024-06-17 00:00:00,19332.0,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Me Too Shoes,www.metooshoes.com,Manufacturing,, United States,"For nearly 20 years, ...me Too has stood out in the industry by fulfilling a tall order: shoes that are stylish, comfortable and high quality.",,2024-06-17 00:00:00,19367.0,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Celluphone,www.celluphone.com,Telecommunications,, United States,"Celluphone, Inc. is engaged in the wholesale distribution of wireless equipment. It offers smartphones, feature phones, Internet devices, and accessories; online tools for large retail chains; and personal support services.",,2024-06-17 00:00:00,19387.0,93,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Walder Wyss and Partners,www.wwp.ch,Retail,,  Switzerland,Walder Wyss and Partners is a company that operates in the Legal Services industry.,,2024-06-17 00:00:00,19428.0,46,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ntv,www.ntv.ca,Media and Internet,, Canada,"NTV is headquartered in St. John's, Newfoundland and Labrador, Canada, the easternmost tip of North America. NTV is independently owned and operated and is broadcast in HD.",,2024-06-02 00:00:00,22001.0,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
WALSER AUTOMOTIVE GROUP,www.walser.com,Retail,, United States,"Walser Automotive Group has been family-owned and operated in Minnesota for over 65 years, where we pioneered our ?¢¬Ä¬òBest Price First?¢¬Ä¬ô philosophy; we offer the lowest price we can on every vehicle from the start, no hassle or haggle required.",,2024-06-02 00:00:00,21959.0,469,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Elmhurst Group,www.elmhurstgroup.com,Real Estate,, United States,"The Elmhurst Group of companies is a 45-year-old Pittsburgh-based organization that invests in commercial real estate and the hospitality industry. Elmhurst?¢¬Ä¬ôs real estate holdings include 40 buildings on 21 sites, totaling more than three million square feet of office, distribution, flex, and hotel space. Elmhurst?¢¬Ä¬ôs long-term strategy is to continually increase the value of each of its properties by providing strong and dedicated management and exceptional customer service.",,2024-06-02 00:00:00,21893.0,79,"['PII', 'Customer and Client Data', 'Financial Data']",Play
FPL Food,www.fplfood.com,Manufacturing,, United States,"Founded in 2004 and headquartered in Augusta, Georgia, FPL Food, LLC produces and processes beef products. The Company offers beef tenderloin, ribeye, striploin, brisket, boneless shank, cube steak, and sliced knuckle products.",,2024-06-11 00:00:00,21960.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Credit Central,www.creditcentralllc.com,Construction,, United States,"Credit Central provides installment loans to qualified Alabama, Georgia, South Carolina, Tennessee, and Texas residents. We also offer free tax preparation, filing, and options for advance tax refund loans.",,2024-06-01 00:00:00,21869.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Levin Porter Associates,www.levin-porter.com,Construction,, United States,"Levin Porter Associates Inc. was founded in Dayton, Ohio in 1960. The services of Levin Porter Associates Inc, with its consultants, includes planning, programming, architecture, interior design, cost estimating, engineering and specialized technologies required for a complete project. For over 50 years,",,2024-05-29 00:00:00,23135.0,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Semicore Equipment,www.semicore.com,Consumer Services,, United States,"Semicore is a manufacturer and worldwide supplier of PVD or Physical Vapor Deposition equipment and thermal evaporation systems for the electronics, academics, optical, solar energy and etc.",,2024-05-29 00:00:00,23041.0,21,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Visa Lighting,www.visalighting.com,Manufacturing,, United States,"Visa Lighting's mission is to forge bold, exceptional experiences through progression and creative collaboration.",,2024-05-28 00:00:00,23077.0,127,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ardenbrook,www.ardenbrook.com,Real Estate,, United States,"Ardenbrook, Inc. is one of the San Francisco Bay Area's largest real estate investment companies. The company has over 90 years of combined operational experience and owns or operates numerous properties including office and industrial buildings, shopping centers and apartment complexes. Holdings are in five Western States but primarily in the East Bay.",,2024-05-28 00:00:00,22979.0,17,"['PII', 'Customer and Client Data', 'Financial Data']",Play
RDI-USA,www.rdiglobalhospitality.com,Hospitality,, United States,"RDI-USA, Inc. was established in 2004 with a vision to create a global sourcing solution for all aspects of the Hospitality Industry. The combination of experience and product development allows us to deliver quality products at low prices. Our products are maintained at the highest level of integrity to meet our Customer's and Brand's standards.",,2024-05-28 00:00:00,22991.0,326,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Anchorage Daily News,www.adn.com,Media and Internet,, United States,"Based in Anchorage, Anchorage Daily News offers news, features and commentary with a statewide focus.",,2024-05-28 00:00:00,22995.0,16,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Experis Technology Group,www.experistg.com,Software,, United States,"For the past two decades, Experis Technology Group, Inc. has been integrating the best of breed software and hardware solutions, along with our consulting services to deliver non-stop environments. We provide businesses with secure, high performing, and highly available systems to support mission-critical workloads.",,2024-05-28 00:00:00,22934.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
The Louis G Freeman,www.freemancompany.com,Manufacturing,, United States,The Louis G Freeman Co is a company that operates in the Machinery industry.,,2024-05-28 00:00:00,22557.0,240,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Aspire Tax,www.aspiretax.com,Business Services,, United States,"Aspire Tax and Bookkeeping Services is based out of New York, USA and is a trusted accounting partner to a large number of business establishmentsand CPAs in US and Canada, since 2012. With a Better Business Bureau rating of A+, we have created a benchmark in providing cost effective bookkeeping, accounting and taxation services.",,2024-05-28 00:00:00,22443.0,297,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Starostwo Powiatowe w ?Ö¬öwiebodzinie,www.samorzad.gov.pl,Government,, Poland,Starostwo Powiatowe w ?Ö¬öwiebodzinie is a company that operates in the Government industry.,,2024-05-28 00:00:00,22475.0,10,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Tri-state General Contractors,www.tri-stategc.com,Construction,, United States,"The Best and Fastest Retail Builders in CA, AZ, NV, HI, ID, UT, WA, OK, NM, TX Incorporated in 2008, Tri State General Contractors specializes in retail and commercial construction with licenses in CA, AZ, NV, HI, ID, UT, OK, NM and TX. In 2013 Dave Mason, Sr. was named President of Tri State General Contractors and brought over 34 years of construction experience to the company.",,2024-05-28 00:00:00,22459.0,397,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ryder Scott Co.,www.ryderscott.com,Construction,, United States,"We pride ourselves on providing personal service. Ryder Scott is committed to satisfying the individual needs of its clients. This helps build thelong-term business, professional and personal relationships that are so important in working together toward a common objective.",,2024-05-28 00:00:00,22460.0,333,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Badger Tag & Label,www.badgertag.com,Business Services,, United States,Badger Tag & Label will continually strive to provide quality products at competitive prices to our customers nationwide and beyond. We believe insmall town values and take customer service very seriously. Our customers know we are a company in the Midwest in whom they can place their trust.,,2024-05-12 00:00:00,23956.0,61,"['PII', 'Customer and Client Data', 'Financial Data']",Play
NK Parts Industries,www.nkparts.com,Transportation,, United States,"NK Parts Industries is a global supply chain and logistics management company providing a one-vendor supply chain management system that can provide domestic and international logistics, freight forwarding, exporting, warehousing, packaging, manufacturing services.",,2024-05-12 00:00:00,23912.0,598,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LiveHelpNow,www.livehelpnow.net,Business Services,, United States,"LiveHelpNow offers a full suite of integrated solutions to streamline the ""business to consumer"" customer service process. LiveHelpNow provides award winning solutions for businesses looking to better sell to consumers.",,2024-05-12 00:00:00,23875.0,531,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Sentry Data Management,www.sentrydatamgt.com,Business Services,, United States,"Sentry is committed to helping our customers handle a variety of information management challenges. The most important of these challenges is our main concern: Privacy. Whether you need important documents stored off-site or a major clean out of old files, you can count on Sentry to always use uncompromising security standards to get the job done efficiently and securely.",,2024-05-13 00:00:00,24519.0,52,"['PII', 'Customer and Client Data', 'Financial Data']",Play
KC Scout,www.kcscout.net,Education,, United States,KC Scout is a company that operates in the Public Safety industry.,,2024-05-13 00:00:00,24517.0,351,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Utica Mack,www.uticamack.com,Transportation,, United States,New York's leading heavy duty truck dealerships.,,2024-05-13 00:00:00,24470.0,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Affordable Payroll & Bookkeeping Services,www.apb-services.com,Finance,, United States,"Affordable Payroll & Bookkeeping (APB) is group of Certified Public Accountants, Professional Accountants and Certified Bookkeepers having a combined experience of over decade. APB provides reliable and professional bookkeeping and payroll services to small and mid level business in New York and state of Massachusetts.",,2024-05-13 00:00:00,24473.0,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Donco Air,www.raymon-hvac.com,Manufacturing,, United States,"Raymon-Donco manufactures air distribution equipment for the heating, ventilating and air conditioning industry. We produce a custom line of air diffusers used primarily in commercial buildings. Sales are made through our network of manufacturers' representatives in offices across the United States and Canada.",,2024-05-13 00:00:00,24494.0,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Somerville,www.somervilleinc.com,Construction,, United States,Somerville is a company that operates in the Architecture & Planning industry.,,2024-05-13 00:00:00,24488.0,151,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Mauritzon,www.mauritzon.net,Manufacturing,, United States,"Spanning Three Centuries, and five generations of family ownership, Mauritzon, Inc. has proudly served hundreds of industries since 1888. The tradition remains strong because the ideals have remained the same... our customer is the most valuable asset we have",,2024-05-14 00:00:00,24475.0,12,"['PII', 'Customer and Client Data', 'Financial Data']",Play
High Performance Services,www.hpsllc.us,Telecommunications,, United States,We pride ourselves on being able to offer our clients the full range of telecommunication services. We are your project management team who focuseson the wireless telecommunication industry.,,2024-05-14 00:00:00,24480.0,192,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Central Florida Equipment,www.centralcivil.com,Construction,, United States,"Founded by James Baer in 1977, the family-owned and operated construction company has been involved in laying the foundation for some of South Florida's most notable projects.",,2024-05-14 00:00:00,24427.0,155,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Stainless Foundry & Engineering,www.stainlessfoundry.com,Metals & Mining,, United States,"Established in 1946 by John McBroom, & headquartered in Milwaukee, Wisconsin, Stainless Foundry & Engineering Inc. (SFE) is a well-established andhighly regarded manufacturer of raw and machined castings in both sand and investment.",,2024-05-05 00:00:00,24923.0,366,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Profile Products,www.profileproducts.com,Utilities,, United States,"Based in Buffalo Grove, IL, PROFILE Products, LLC offers environmentally sound, site-specific solutions for soil modification, horticultural production, erosion control and plant establishment.",,2024-05-03 00:00:00,25345.0,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Advanced Business Networks,www.netabn.com,Business Services,, United States,Advanced Business Networks is an IT consulting company specializing in providing IT support to small and mid-sized organizations across the Chicagoarea.,,2024-05-03 00:00:00,25361.0,304,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Canatal Industries,www.canatal.net,Construction,, United States,"Canatal fabricates and fully installs structural steel projects customized to your specifications and schedule; our goal is to exceed your expectations. In a market where fast-track construction projects are increasingly common, where efficiency is paramount and where delays mean a loss of profits, Canatal prides itself in being able to alter the workflow in ingenious and resourceful ways to meet deadlines.",,2024-05-02 00:00:00,25118.0,79,"['PII', 'Customer and Client Data', 'Financial Data']",Play
New Hudson Facades,www.newhudsonfacades.com,Construction,, United States,"ncorporated in 2014, New Hudson Facades (NHF) is a custom architectural faade company specializing in the design, engineering, manufacturing, andinstallation of facades on world class buildings. NHF partners with leading architects and general contractors to provide innovative and challenging cladding solutions for some of the most architecturally significant projects being built today.",,2024-05-01 00:00:00,25994.0,586,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Toolmarts,www.toolmarts.com,Retail,, United States,"Toolmarts has been a factory direct distributor of power tools, woodworking equipment and shop machinery since 1986. Toolmarts is headquartered inEscondido, CA",,2024-05-01 00:00:00,25971.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Legislative Bill Drafting Commission,www.lbdc.state.ny.us,Construction,, United States,Legislative Bill Drafting Commission is a company that operates in the Government industry.,,2024-05-01 00:00:00,25899.0,74,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Yale Mortgage,www.yalemortgage.com,Finance,, United States,"ale Mortgage offers mortgage loans to others. It provides information, protection from unauthorized access, verifies identity, andaccount services.",,2024-05-02 00:00:00,25909.0,87,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Precision Fluid Controls,www.precisionfluidcontrols.com,Transportation,, United States,"Precision Fluid Controls, Inc. designs, manufactures and tests components for launch vehicles and ground support applications-providing many typesof valves including throttling valves, ball valves, check and relief valves, vent and relief valves, pressure reducing, both manual and dome loaded, regulators, sleeve valves, butterfly valves, solenoid valves plus many others.",,2024-05-02 00:00:00,25924.0,51,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Original Herkimer Cheese,www.originalherkimercheese.com,Manufacturing,, United States,"We like to say that Original Herkimer Cheese?Ç¬Æ is Where Excellence Is a Tradition, and to us that's personal. We are a 3rd generation family ownedand operated business.",,2024-05-02 00:00:00,25819.0,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Axip Energy Services,www.axip.com,Utilities,, United States,"Axip Energy Services is a provider of contract compression and production equipment, wellpad solutions, and treating facilities to the oil and gasindustry.",,2024-05-02 00:00:00,25822.0,129,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Engineered Automation of Maine,www.eaminc.com,Manufacturing,, United States,"Engineered Automation of Maine, Inc. designs, manufactures, and services both standard and custom equipment for your unique needs and process.",,2024-04-24 00:00:00,27474.0,157,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Pennsylvania Convention Center,www.paconvention.com,Hospitality,, United States,"Established in 1950. The Philadelphia Convention & Visitors Bureau (PCVB), a private membership corporation, is the official Tourism Promotion Agency for the City of Philadelphia, and the primary sales and marketing agency for the Pennsylvania Convention Center.",,2024-04-26 00:00:00,27291.0,211,"['PII', 'Customer and Client Data', 'Financial Data']",Play
SIS Automatisering,www.sisautomatisering.nl,Business Services,, Netherlands,"The technically oriented SIS team complements our own specialists and is fully prepared to support COIN at any time. The fact that COIN has been able to count on Martin and his team for years, and that they provide optimal input when designing technical solutions for our customers, is very valuable to COIN.",,2024-04-24 00:00:00,27246.0,216,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Alltruck Bodies,www.alltruckbodies.com.au,Manufacturing,, Australia,"Alltruck Bodies manufacture a range of rigid bodies, such as Curtainsiders, Colorbond vans, FRP vans, Trays, Insulated bodies, Freezer bodies and Light Weight bodies.",,2024-04-24 00:00:00,27232.0,365,"['PII', 'Customer and Client Data', 'Financial Data']",Play
JE Owens,www.jeowens.com,Accounting,, United States,JE Owens & Co is a company that operates in the Accounting industry.,,2024-04-23 00:00:00,26996.0,137,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Heritage Cooperative,www.heritagecooperative.com,Membership Organizations,, United States,"Founded in 2009, Heritage cooperative provides agricultural products and services to increases the quality of life in the rural communities. They are based in Delaware, Ohio.",,2024-04-16 00:00:00,28507.0,297,"['PII', 'Customer and Client Data', 'Financial Data']",Play
The MBTW Group,www.mbtw.com,Construction,, Canada,"The MBTW Group is an award winning, multi-disciplinary landscape architecture, urban design and community planning firm located in Midtown Toronto. Our design studio, in business since 1975, has provided design consulting services to an international roster of clients in both private and public sectors",,2024-04-16 00:00:00,28651.0,251,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LS Networks,www.lsnetworks.net,Telecommunications,, United States,"ounded in 2005, LS Networks serves business, government, healthcare, education and other enterprises with bandwidth and network connectivity. LS Networks is located in Portland, Oregon.",,2024-04-16 00:00:00,28655.0,408,"['PII', 'Customer and Client Data', 'Financial Data']",Play
New England Wooden Ware,www.newwpkg.com,Manufacturing,, United States,"Founded in 1834 as the E. Murdock Company in Winchendon, Massachusetts we were at one time the largest manufacturer of wooden products and containers in New England. We pride ourselves in over 180 years of craftsmanship and evolving technology.",,2024-04-16 00:00:00,28551.0,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Access Intelligence,www.accessintel.com,Business Services,, United States,"Founded in 1977, Access Intelligence provides clients with business insights and integrated marketing solutions. Access Intelligence is headquartered in Rockville, Maryland.",,2024-04-16 00:00:00,28570.0,34,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Theatrixx Technologies,www.theatrixx.com,Manufacturing,, Canada,"Theatrixx Technologies distributes and manufactures technical equipment to suit the needs of the performing arts industry.Theatrixx Technologies' product lines are carefully selected based on our rigorous criteria with regards to safety, reliability, sturdiness, quality of construction and manufacturers' solid reputation.",,2024-04-16 00:00:00,28442.0,65,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MoldTech,www.moldtechrubber.com,Manufacturing,, United States,"Moldtech, Inc. is a leading North American developer and manufacturer of innovative custom rubber molded products.",,2024-04-16 00:00:00,28357.0,19,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Feldstein & Stewart,www.feldsteinandstewart.com,Business Services,, United States,Feldstein & Stewart LLP provides accounting and tax services to clients in the New York & New Jersey Metropolitan Area.,,2024-04-13 00:00:00,28394.0,271,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Everbrite,www.everbrite.com,Manufacturing,, United States,"Founded in 1927, Everbrite provides visual identification and LED lighting solutions to companies throughout the world. Headquartered in Greenfield, Wisconsin.",,2024-04-10 00:00:00,29610.0,63,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Guy's Floor Service,www.guysfloor.com,Construction,, United States,"Guys Floor Service, Inc. was launched by our founder, Guy Routzon, in 1942 from a modest home in downtown Denver. In those early days, Guy got hisstart refinishing hardwood floors in the barracks of the Lowry Air Force Base. Now with two design center locations, three divisions and a high volume fabrication facility, we are proud of our substantial growth and our reputation for excellence within the residential and commercial interior finishing industry.",,2024-04-10 00:00:00,29627.0,232,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Sit,www.sitnsleep.com,Retail,, United States,"Founded in 1978 and headquartered in Gardena, California, Sit 'n Sleep is a mattress company. The company has several locations where they sell their mattresses as well as other bedding accessories.",,2024-04-10 00:00:00,29594.0,192,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Lambda Energy Resources,www.lambdaenergyllc.com,Enviromental Services,, United States,"Lambda is the largest producer in Michigan by revenue and oil production volume. Our daily net production exceeds 6000 BOEPD. Lambda operates over850 active oil and gas wells in the Niagaran, Antrim, Richfield, and Prairie du Chien formations.",,2024-04-02 00:00:00,31383.0,550,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Lawrence Semiconductor Research Laboratory,www.lsrl.com,Semiconductors,, United States,"Lawrence Semiconductor Research Laboratory, Inc. (LSRL) is a privately held corporation, founded in 1992. LSRL supplies custom epitaxial growth asa service for commercial organizations as well as for government and academic use.",,2024-04-04 00:00:00,31343.0,496,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Quality Enclosures,www.qualityenclosures.com,Wholesale Building Materials,, United States,"Quality Enclosures, Inc. provides the highest quality shower enclosures and tempered glass with unmatched customer service. Consisting of multipletempering and manufacturing facilities, Quality Enclosures is a company devoted to growth across its market, its employees and the communities it services.",,2024-04-02 00:00:00,31278.0,23,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hartz,www.hartz.com,Manufacturing,, United States,Hartz is a manufacturer of pet care products with a 91 year history.,,2024-04-02 00:00:00,31214.0,655,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Alber Law Group,www.alberlaw.com,Legal Services,, United States,Alber Law Group is a Long Island based boutique law firm that provides legal services.,,2024-04-02 00:00:00,31283.0,195,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Festspielhaus Baden-Baden,www.festspielhaus.de,Entertainment,, Germany,The Festspielhaus Baden-Baden is Germany's largest opera house. Its acoustics are considered one of the best in the world.,,2024-04-02 00:00:00,31285.0,580,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Weld Plus,www.weldplus.com,Industrial Automation,, United States,Weld Plus has been serving the Cincinnati and Northern Kentucky and all through the Ohio Valley as well as International customers for over 20 years.,,2024-04-02 00:00:00,31261.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
JM Thompson,www.jmthompson.com,Construction,, United States,JM Thompson Co is a company that operates in the Construction industry.,,2024-04-02 00:00:00,31253.0,200,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Tbr Kowalczyk,-,Accounting,, Poland,"Accounting, bookkeeping and auditing activities; tax consultancy",,2024-04-02 00:00:00,31160.0,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Pavilion Construction,www.pavilionconstruction.com,Construction,, United States,"At Pavilion Construction, we understand our growth has been fueled by repeat business with satisfied clients. We have emerged as an industry leaderthrough our focus on the client, establishing reputable contracting services at unparalleled standards.",,2024-03-30 00:00:00,30943.0,900,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Boingo Graphics,www.boingographics.com,Printing Services,, United States,"Boingo Graphics is committed to providing customers with a unique range of complete, scalable, and practical solutions that make sense. Whether youare shopping for graphic design, web sites, integrated direct mail campaigns, variable data printing, commercial printing, trade show graphics, wide format printing or fulfillment - Boingo Graphics has the solution for you.",,2024-03-30 00:00:00,30871.0,155,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Premier Technology,www.premiertechnology.net,IT Services and IT Consulting,, United States,"Premier Technology: Home, Computer Networking, Computer Repair, Computer Sales, New Used, Consulting, Iowa; Cedar Rapids, Waterloo, Dubuque, Prairie du Chien, Davenport, Jesup, Monona, Fayette, Oelwein, Cascade.",,2024-03-15 00:00:00,34236.0,66,"['PII', 'Customer and Client Data', 'Financial Data']",Play
SREE Hotels,www.sree.com,Hospitality,, United States,"SREE Hotels founded in 1980 and headquartered in Charlotte, North Carolina, is a hospitality management company providing fully integrated hotel development and management services throughout the Southeast and Midwest.",,2024-03-14 00:00:00,34183.0,64,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bridger Insurance,www.bridgerins.com,Insurance,, United States,"Bridger staff is intently focused to launch a new non-standard California auto insurance product by the end of 2017. Deep into the final quarter, the team is knee-deep implementing new operational procedures and systems to greatly improve agents' and policy holders' engagement with the new company.",,2024-03-15 00:00:00,34142.0,67,"['PII', 'Databases', 'Customer and Client Data', 'Financial Data']",Play
BiTec,www.bitecsmi.com,Manufacturing,, United States,"BITEC is a custom precision machine shop. We use state-of-the-art computer numerically controlled (CNC) machine tools for major applications. We provide specialized products for the aerospace, entertainment, mechanical and medical industries. BITEC was established in 1985. Since then, we have earned a reputation for proficiency and quality.",,2024-03-15 00:00:00,34119.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
QI Group,www.qigroup.ca,Mining,, Canada,QI Group Ltd is a company that operates in the Retail industry.,,2024-03-15 00:00:00,34112.0,120,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Fashion UK,www.fashions-uk.com,Retail,, United Kingdom,Fashion UK is a company that operates in the Apparel & Fashion industry.,,2024-03-15 00:00:00,34073.0,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Grassmid Transport,www.grassmidtransportinc.com,Transportation,, United States,"Grassmid Transport Inc. based in Zeeland, MI was founded in 1967. Now operating more than 80 tractors and 200 trailers with 2/3 of our fleet beingrefrigerated and 1/3 being dry vans and step deck trailers. We have accounts with customers running for more than 20 years and keep good relations with all our clients. We haul products like meats, fruits, vegetables, water heaters, and office furniture priding ourselves in on-time and accurate deliveries.",,2024-03-15 00:00:00,34084.0,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Image Pointe,www.imagepointe.com,Printing Services,, United States,Image Pointe is a leading supplier of apparel and promotional items.,,2024-03-15 00:00:00,34003.0,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ruda Auto,www.rudaauto.com,Automotive,, United States,"Ruda Auto is located in Monroe, Wisconsin, 53566. We offer great deals on new and used vehicles, service and parts.",,2024-03-15 00:00:00,34106.0,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Canada Revenue Agency,www.zsb.ca,Accounting,, Canada,Canada Revenue Agency is a company that operates in the Accounting industry.,,2024-03-15 00:00:00,34038.0,43,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bechtold,www.bechtoldfenster.de,Construction,, Germany,Bechtold GmbH & Co is a company that operates in the Retail industry.,,2024-03-15 00:00:00,34091.0,53,"['PII', 'Customer and Client Data', 'Financial Data']",Play
